Year,AvgLevel
1942,1197.133333
1943,1190.533333
1944,1179.4125
1945,1167.466667
1946,1159.3375
1947,1154.714167
1948,1173.874167
1949,1170.529167
1950,1166.996667
1951,1157.8975
1952,1166.1675
1953,1162.373333
1954,1134.660833
1955,1101.188333
1956,1097.3325
1957,1122.656667
1958,1183.178333
1959,1180.011667
1960,1171.19
1961,1159.605833
1962,1173.478333
1963,1177.698333
1964,1121.543333
1965,1103.319167
1966,1130.428333
1967,1130.8025
1968,1133.2725
1969,1141.33
1970,1151.191667
1971,1151.104167
1972,1157
1973,1177.155
1974,1174.8375
1975,1176.508333
1976,1180.199167
1977,1183.5125
1978,1184.215
1979,1195.845
1980,1201.1675
1981,1198.875
1982,1198.070833
1983,1212.711667
1984,1210.564167
1985,1209.583333
1986,1206.560833
1987,1208.804167
1988,1206.775833
1989,1196.0175
1990,1185.990833
1991,1176.808333
1992,1175.673333
1993,1185.859167
1994,1184.7025
1995,1179.9175
1996,1191.11
1997,1198.833333
1998,1213.121667
1999,1210.908333
2000,1207.658333
2001,1189.809167
2002,1168.216667
2003,1148.718333
2004,1134.07
2005,1138.305
2006,1133.633333
2007,1120.844167
2008,1110.330833
2009,1102.658333
2010,1093.855
2011,1097.258333
2012,1123.590833
2013,1113.614167
