,GageID,X,Y,Area
0,5104601,3680.229932,2105.327248,63.9
1,09010500,3680.229932,2078.69173,63.9
2,5100848,3680.229932,2025.420696,88.4
3,5103695,3680.229932,1945.514143,102.0
4,5104055,3680.229932,1785.701039,212.0
5,09019500,3200.790619,1599.252417,125.0
6,5100934,3254.061654,1599.252417,125.0
7,09021000,3600.32338,1599.252417,133.0
8,5104625,3360.603723,693.644825,2.5
9,5102084,3360.603723,800.186895,25.0
10,09024000,3360.603723,986.635517,27.6
11,5101310,3200.790619,1013.271034,19.0
12,09025000,3360.603723,1013.271034,27.8
13,5101309_D,3040.977514,1226.355173,32.8
14,09026500,3094.248549,1066.542069,32.8
15,09032499,3786.772002,1146.448621,7.25
16,5101269,3653.594415,959.999999,15.4
17,09032000,3626.958897,1013.271034,22.0
18,5100728,3653.594415,1066.542069,10.0
19,09032500,3626.958897,1119.813104,47.0
20,5102075,3307.332688,1199.719656,11.1
21,5102078,3733.500967,1252.990691,12.0
22,09033500,3626.958897,1252.990691,12.0
23,51_ADC006,3547.052345,1412.803795,102.1
24,09034250,3333.968206,1492.710348,784.0
25,09034800,3067.613032,1466.07483,6.65
26,09034900,3307.332688,374.018617,6.0
27,5104603,3200.790619,374.018617,6.0
28,09035500,2961.070962,533.831721,15.0
29,09036000,2961.070962,1013.271034,89.7
30,5101070,2961.070962,1173.084139,68.5
31,09037500,2961.070962,1279.626208,184.0
32,5103709,2961.070962,1332.897243,24.5
33,09038500,2961.070962,1492.710348,230.0
34,5102061,2907.799927,1599.252417,14.0
35,5000628,2694.715788,1892.243109,44.6
36,09039000,2694.715788,1838.972074,44.6
37,5000593,2694.715788,1759.065522,12.0
38,5000598,2694.715788,1679.158969,20.0
39,5000576,2774.62234,1652.523452,76.0
40,09040000,2721.351305,1652.523452,76.0
41,5000601,2481.631649,2105.327248,2.38
42,5000744,2481.631649,2052.056213,5.87
43,09041000,2481.631649,1972.149661,87.3
44,5000656,2481.631649,1918.878626,54.0
45,09041200,2295.183027,1945.514143,1.33
46,5004600,2295.183027,1892.243109,1.33
47,5000627,2508.267166,1838.972074,18.5
48,5003668,2482.741462,1799.573704,142.0
49,09041500,2481.631649,1492.710348,289.0
50,3604685,2508.267166,-584.86001,6.0
51,3604699,2401.725097,-584.86001,6.0
52,3604683SU,2028.827853,-478.31794,21.0
53,09046600,2401.725097,-265.233801,117.0
54,3604626,2721.351305,-185.327249,2.5
55,09047500,2561.538201,-185.327249,9.0
56,3600908,2508.267166,-185.327249,9.0
57,3600841,2028.827853,-158.691732,48.0
58,3601016,2188.640957,-158.691732,77.0
59,09050100,2321.818544,-158.691732,86.0
60,3604512,2401.725097,-105.420697,57.0
61,09050700,2401.725097,134.29896,328.0
62,3600829,2454.996132,187.569995,17.0
63,3600780,2401.725097,560.467238,84.0
64,3602012,2188.640957,667.009308,15.0
65,09052800,2241.911992,640.373791,15.0
66,3600649_D,2321.818544,613.738273,8.0
67,3600765,2241.911992,720.280343,8.0
68,3602002,2295.183027,720.280343,8.0
69,36_ADC017,2401.725097,800.186895,510.0
70,09053500,2401.725097,826.822412,510.0
71,09054000,2321.818544,853.45793,15.0
72,3602000,2241.911992,906.728965,12.0
73,09055300,2295.183027,906.728965,12.0
74,3603543,2401.725097,959.999999,58.0
75,09057500,2321.818544,1199.719656,10.0
76,3600645,2321.818544,1226.355174,10.0
77,3600801,2401.725097,1306.261726,6.0
78,3600662_D,2401.725097,1359.53276,69.2
79,09058000,2295.183027,1492.710348,2380.0
80,5202006,2241.911992,1386.168278,16.0
81,5200658,2135.369923,1439.439313,6.0
82,5302002,2162.00544,1705.794487,47.0
83,09060500,2162.00544,1652.523452,17.0
84,5300657,2401.725097,1812.336556,5.0
85,5302011,2401.725097,1785.701039,5.0
86,53_ADC022,2401.725097,1705.794487,26.0
87,09060700,2401.725097,1652.523452,26.0
88,5804686,2295.183027,1545.981382,0.0
89,5300555_D,1810.194647,1839.526981,30.0
90,5302018,1842.379231,1838.972074,30.0
91,5300883,1948.921301,1492.710348,23.0
92,5300632,1895.650266,1625.887935,5.0
93,09067300,1922.285783,986.635517,27.3
94,3704648,1869.014749,107.663443,7.0
95,3702066,2082.098888,160.934477,1.0
96,09063000,1869.014749,294.112064,69.0
97,3704516,1576.024057,347.383099,14.0
98,3704643,1655.930609,347.383099,11.3
99,09064000,1789.108196,347.383099,36.0
100,3702028_Dwn,1655.930609,453.925169,33.0
101,3702018,1735.837162,453.925169,33.0
102,09065100,1815.743714,453.925169,33.0
103,09065500,2082.098888,533.831721,14.0
104,37VAILMUN,2002.192336,533.831721,44.0
105,3700708,1869.014749,693.644825,250.0
106,3700830,1869.014749,720.280343,250.0
107,3700519,1975.556818,773.551378,23.0
108,3700571,1869.014749,773.551378,40.0
109,3700642,1869.014749,1093.177586,430.7
110,09068000,1762.472679,587.102756,70.0
111,3700686,1762.472679,786.869137,38.0
112,3702000,1629.295092,1306.261726,62.0
113,09069500,1682.566127,1306.261726,6.0
114,3700823,1709.201644,1306.261726,6.0
115,3700539,1842.379231,1306.261726,31.0
116,09070000,1869.014749,1466.07483,948.0
117,09070500,1682.566127,1492.710348,4365.0
118,09071300,1549.38854,1585.934658,6.0
119,5301051,1549.38854,1519.345865,10.0
120,5302013,1496.117505,1572.6169,18.0
121,3804717,1096.584744,-105.420697,44.2
122,3804617,1096.584744,-52.149662,44.2
123,09073400,1096.584744,81.027925,105.0
124,3801594,776.958535,160.934477,23.4
125,09074000,990.042674,160.934477,41.0
126,3802015,856.865087,267.476547,34.0
127,09074800,910.136122,267.476547,40.0
128,3800869,963.407157,267.476547,40.0
129,09075700,750.323018,320.747582,33.0
130,3800854,990.042674,374.018617,11.0
131,3801104,990.042674,347.383099,11.0
132,3802048,1309.668883,400.654134,34.0
133,3801441,670.416465,587.102756,36.0
134,3802013,643.780948,800.186895,24.0
135,3800959,936.771639,587.102756,36.0
136,3804613,1256.397848,81.027925,82.0
137,3804625SU,1309.668883,81.027925,82.0
138,09078600,1442.84647,320.747582,134.0
139,3803713,1442.84647,453.925169,98.0
140,09080400,1442.84647,560.467238,232.0
141,3800880_D,1256.397848,746.91586,11.0
142,09080800,1256.397848,693.644825,14.0
143,3800968,1362.939918,773.551378,350.0
144,3801052,776.958535,853.45793,163.0
145,09081600,830.22957,853.45793,163.0
146,3800840,1069.949226,906.728965,26.0
147,09082800,1069.949226,880.093447,47.0
148,3800939,1069.949226,853.45793,47.0
149,3802080,1523.049645,991.844197,29.0
150,09084000,1523.049645,1021.255962,29.0
151,3800902,1523.049645,1138.903021,7.0
152,3800925,1442.84647,1199.719656,48.0
153,09084600,1229.762331,1279.626208,17.0
154,3800688,1362.939918,1279.626208,20.0
155,09085000,1362.939918,1492.710348,1437.0
156,09085100,1336.3044,1652.523452,19.0
157,3900548,1309.668883,1652.523452,19.0
158,09085200,1309.668883,1572.6169,24.0
159,3900825,1309.668883,1492.710348,24.0
160,3902002,1283.033366,1892.243109,130.0
161,3900540,1496.117505,1838.972074,3.5
162,3902001,1442.84647,1838.972074,50.0
163,09087500,1283.033366,1572.6169,181.0
164,4500788,1256.397848,1359.53276,4.0
165,09088000,1283.033366,1386.168278,16.0
166,4004657,1123.220261,1146.448621,0.0
167,09089500,1123.220261,1226.355173,65.0
168,09090700,1149.855779,1252.990691,41.0
169,4500810,1123.220261,1492.710348,80.0
170,4500685,1016.678192,1492.710348,12.0
171,3902007,1207.011159,1971.872208,35.5
172,09091500,1138.480193,1972.010935,35.5
173,BaseFlow,910.136122,1892.243109,33.0
174,09092500,830.22957,1439.439313,11.3
175,4500632_D,776.958535,1466.07483,7.5
176,09092600,723.6875,1386.168278,8.0
177,3900546_D,697.051983,1679.158969,141.3
178,3900635,697.051983,1545.981382,48.4
179,09093500,697.051983,1492.710348,195.0
180,09093700,377.425774,1492.710348,7310.0
181,7000596,350.790257,1838.972074,151.0
182,09094200,350.790257,1812.336556,151.0
183,7000521,350.790257,1759.065522,111.0
184,09095000,350.790257,1679.158969,321.0
185,09095500,-22.106987,1492.710348,7937.0
186,7200820_D,-102.013539,1.121373,21.7
187,7202000,-102.013539,54.392408,21.7
188,7203839,-474.910783,374.018617,48.0
189,09096500,-102.013539,427.289651,80.4
190,7204721,190.977152,533.831721,6.0
191,72_ADC054,84.435083,533.831721,143.0
192,09097500,-48.742505,533.831721,143.0
193,7200649,-181.920092,587.102756,37.0
194,7200580,-102.013539,693.644825,35.0
195,7203904AG,-581.452853,773.551378,75.0
196,7204033AG,-368.368713,986.635517,15.0
197,09100500,-261.826644,986.635517,15.0
198,7200557,-315.097679,1066.542069,3.0
199,09101500,-261.826644,1066.542069,3.0
200,09104000,-261.826644,1146.448621,1.52
201,09104500,-501.5463,1226.355173,7.0
202,09105000,-102.013539,1439.439313,593.0
203,7200764_I,-128.649057,1439.439313,6.0
204,72_GJImp,-421.639748,1466.07483,0.0
205,09152500,-474.910783,1386.168278,7928.0
206,72_ADC065,-581.452853,1492.710348,450.0
207,09163500,-634.723887,1492.710348,17843.0
